,groups_sup,human_Good,not_human_Good,human_Bad,not_human_Bad,not_human_Neutral,human_Neutral
0,AVG(energy_powers),0.7246963562753036,0.9192546583850931,0.5546218487394958,1.1295336787564767,1.2592592592592593,0.5945945945945946
1,AVG(matter_powers),0.3117408906882591,0.3447204968944099,0.20168067226890757,0.49740932642487046,0.46296296296296297,0.24324324324324326
2,AVG(self_powers),0.25101214574898784,0.2981366459627329,0.226890756302521,0.5129533678756477,0.6481481481481481,0.35135135135135137
3,AVG(reality_powers),0.23481781376518218,0.2826086956521739,0.2689075630252101,0.45595854922279794,0.7962962962962963,0.2972972972972973
4,AVG(mind_powers),0.6275303643724697,0.577639751552795,0.7983193277310925,0.6994818652849741,0.7962962962962963,0.7567567567567568
5,AVG(resistance_powers),0.4979757085020243,0.6459627329192547,0.31092436974789917,0.9533678756476683,1.3703703703703705,0.2702702702702703
6,AVG(invulnerability),0.8987854251012146,1.2919254658385093,0.8487394957983193,1.7461139896373057,3.2222222222222223,1.0
7,AVG(supersenses),0.2388663967611336,0.40372670807453415,0.16806722689075632,0.41450777202072536,0.9814814814814815,0.2702702702702703
8,AVG(stamina),1.2186234817813766,1.1801242236024845,1.218487394957983,1.2590673575129534,1.962962962962963,1.4594594594594594
9,AVG(capabilities),1.6680161943319838,1.2453416149068324,1.5378151260504203,1.0518134715025906,2.259259259259259,2.2432432432432434
10,AVG(jump_flight),0.3522267206477733,0.4472049689440994,0.31092436974789917,0.43523316062176165,0.7777777777777778,0.1891891891891892
11,AVG(stealth),0.46558704453441296,0.21739130434782608,0.40336134453781514,0.19689119170984457,0.4444444444444444,0.6216216216216216
12,AVG(weapons),0.8259109311740891,0.40683229813664595,0.8907563025210085,0.5025906735751295,0.7777777777777778,1.3243243243243243
13,AVG(speed),0.291497975708502,0.41304347826086957,0.2605042016806723,0.40414507772020725,0.7222222222222222,0.24324324324324326
14,AVG(strength),0.3603238866396761,0.5714285714285714,0.37815126050420167,0.6839378238341969,0.8703703703703703,0.24324324324324326
